PDR Number,Date Received,Type,Item Requested,Person Received,Date due,Date Complete,Request Source
P2013-86,1/9/2013,PDR,OPA 12-0247,EMAIL,1/22/2013,1/17/2013,Individual
P2013-87,1/9/2013,PDR,OPA 12-0247,EMAIL,1/17/2013,1/17/2013,Individual
P2013-90,1/9/2013,PDR,2007 REPORT,EMAIL,1/16/2013,1/16/2013,Individual
P2013-91,1/9/2013,PDR,11-238520,EMAIL,2/27/2013,2/7/2013,Individual
P2013-92,1/9/2013,PDR,12-442480,COUNTER,1/16/2013,1/16/2013,Individual
P2013-93,1/9/2013,PDR,12-400708,EMAIL,1/16/2013,1/12/2013,Individual
P2013-94,1/9/2013,PDR,13-4123,EMAIL,1/30/2013,1/16/2013,Individual
P2013-95,1/9/2013,PDR,09-380272,EMAIL,1/16/2013,1/12/2013,Attorney
P2013-96,1/9/2013,PDR,2007 INCIDENT REPORT,COUNTER,1/16/2013,1/16/2013,Individual
P2013-97,1/9/2013,PDR,212 - 216 23 AV E,COUNTER,2/27/2013,2/6/2013,Individual
P2013-100,1/10/2013,PDR,12-424532,EMAIL,2/25/2013,2/22/2013,Attorney
P2013-101,1/10/2013,PDR,12-221054,COUNTER,1/17/2013,1/14/2013,Individual
P2013-102,1/10/2013,PDR,13-1970,EMAIL,1/17/2013,1/15/2013,Attorney
P2013-103,1/10/2013,PDR,DUI REPORT,EMAIL,1/17/2013,1/17/2013,Attorney
P2013-104,1/10/2013,PDR,INCIDENT REPORT,EMAIL,1/17/2013,1/14/2013,Individual
P2013-81,1/10/2013,PDR,N PCT CRIME STATS,EMAIL,1/17/2013,1/16/2013,Individual
P2013-82,1/10/2013,PDR,W PCT VIDEO,EMAIL,3/14/2013,3/13/2013,Attorney
P2013-83,1/10/2013,PDR,BAC VIDEO,EMAIL,2/28/2013,2/19/2013,Attorney
P2013-84,1/10/2013,PDR,13-5239,COUNTER,1/17/2013,1/14/2013,Individual
P2013-85,1/10/2013,PDR,DEM VEHS,EMAIL,1/17/2013,1/14/2013,Individual
P2013-88,1/10/2013,PDR,"20/20 PLAN, DOJ INFO, 38 REPORTS",EMAIL,4/17/2013,4/12/2013,Attorney
P2013-89,1/10/2013,PDR,12-378993,EMAIL,1/31/2013,1/23/2013,Media
P2013-98,1/10/2013,PDR,12-443587,MAIL,2/22/2013,2/19/2013,Attorney
P2013-99,1/10/2013,PDR,BAC VIDEO,EMAIL,1/17/2013,1/15/2013,Attorney
P2013-105,1/11/2013,PDR,INCIDENT REPORT,EMAIL,1/18/2013,1/18/2013,Individual
P2013-106,1/11/2013,PDR,13-10295,EMAIL,1/18/2013,1/15/2013,Individual
P2013-124,1/11/2013,PDR,PARKING CITATIONS & AUTO THEFTS,MAIL,1/18/2013,1/18/2013,Individual
P2013-125,1/11/2013,PDR,KURT VON WARNER,EMAIL,1/18/2013,1/17/2013,Attorney
P2013-126,1/11/2013,PDR,12-438663,MAIL,3/1/2013,1/29/2013,Individual
P2013-127,1/11/2013,PDR,"BAC VIDEO, DOC OF COMMUNICATIONS & REPAIRS",EMAIL,1/18/2013,1/18/2013,Attorney
P2013-107,1/14/2013,PDR,ALPR INFO,EMAIL,4/11/2013,4/10/2013,Media
P2013-108,1/14/2013,PDR,9 REPORTS,EMAIL,1/22/2013,1/15/2013,Individual
P2013-109,1/14/2013,PDR,06-77743,COUNTER,1/22/2013,1/15/2013,Attorney
P2013-110,1/14/2013,PDR,12-262935,EMAIL,1/22/2013,1/15/2013,Individual
P2013-111,1/14/2013,PDR,03-269673,COUNTER,1/22/2013,1/15/2013,Individual
P2013-112,1/14/2013,PDR,13-13185,EMAIL,3/12/2013,3/5/2013,Attorney
P2013-113,1/14/2013,PDR,INFO REGARDING D LICENSE PERMITS,EMAIL,2/13/2013,2/13/2013,Individual
P2013-114,1/14/2013,PDR,10-40993,EMAIL,1/22/2013,1/15/2013,Individual
P2013-115,1/14/2013,PDR,INFO ON 1988 PLYMOUTH POLICE VEH,EMAIL,1/22/2013,1/18/2013,Individual
P2013-116,1/14/2013,PDR,10-113793,FAX,1/22/2013,1/16/2013,Individual
P2013-117,1/14/2013,PDR,"13-9247,13-6358,13-10151, CAD13-5542",COUNTER,2/19/2013,2/13/2013,Individual
P2013-118,1/14/2013,PDR,13-4472,COUNTER,1/22/2013,1/15/2013,Individual
P2013-119,1/14/2013,PDR,13-5260,MAIL,1/22/2013,1/20/2013,Attorney
P2013-120,1/14/2013,PDR,04-222195,EMAIL,1/22/2013,1/16/2013,Individual
P2013-121,1/14/2013,PDR,CFS - TRAFFIC STOPS,EMAIL,1/22/2013,1/22/2013,Individual
P2013-122,1/14/2013,PDR,12-395157,EMAIL,3/1/2013,2/5/2013,Attorney
P2013-123,1/14/2013,PDR,CAD 13-880,MAIL,3/5/2013,2/7/2013,Attorney
P2013-130,1/14/2013,PDR,REPORTS REGARDING,FAX,1/22/2013,1/16/2013,Attorney
P2013-132,1/14/2013,PDR,13-12787,EMAIL,1/22/2013,1/15/2013,Individual
P2013-133,1/14/2013,PDR,12-399618,EMAIL,1/22/2013,1/20/2013,Individual
P2013-128,1/15/2013,PDR,CFS & INCIDENT REPORTS,EMAIL,1/23/2013,1/23/2013,Attorney
P2013-129,1/15/2013,PDR,13-12623,EMAIL,1/23/2013,1/15/2013,Individual
P2013-142,1/15/2013,PDR,13-9842,EMAIL,1/23/2013,1/20/2013,Individual
P2013-143,1/15/2013,PDR,12-425870,EMAIL,1/23/2013,1/21/2013,Individual
P2013-144,1/15/2013,PDR,10028 29 AV NE,COUNTER,3/1/2013,2/10/2013,Individual
P2013-145,1/15/2013,PDR,12-350252,EMAIL,1/23/2013,1/20/2013,Individual
P2013-146,1/15/2013,PDR,12-404038,EMAIL,1/23/2013,1/22/2013,Individual
P2013-147,1/15/2013,PDR,09-172618,EMAIL,1/23/2013,1/20/2013,Attorney
P2013-148,1/15/2013,PDR,"10-9524,10-2417,10-13571",EMAIL,4/12/2013,4/11/2013,Attorney
P2013-149,1/15/2013,PDR,12-443105,COUNTER,1/23/2013,1/20/2013,Individual
P2013-150,1/15/2013,PDR,12-130423,COUNTER,3/1/2013,2/5/2013,Individual
P2013-151,1/15/2013,PDR,11-295620,COUNTER,1/23/2013,1/20/2013,Individual
P2013-152,1/15/2013,PDR,CFS,MAIL,1/23/2013,1/23/2013,Individual
P2013-153,1/15/2013,PDR,12-445423,PHONE,1/23/2013,1/20/2013,Individual
P2013-154,1/15/2013,PDR,67-63857,MAIL,1/23/2013,1/17/2013,Individual
P2013-155,1/15/2013,PDR,"12-325517, 12-238432",COUNTER,2/20/2013,2/4/2013,Attorney
P2013-131,1/16/2013,PDR,BAC VIDEO,COUNTER,2/19/2013,1/31/2013,Attorney
P2013-134,1/16/2013,PDR,13-14842,MAIL,3/7/2013,3/5/2013,Attorney
P2013-135,1/16/2013,PDR,OFC BAILEY & OFC STONE (DOB),EMAIL,4/16/2013,4/14/2013,Attorney
P2013-136,1/16/2013,PDR,4626 S GARDEN ST,EMAIL,1/24/2013,1/23/2013,Individual
P2013-137,1/16/2013,PDR,13-3611,EMAIL,1/24/2013,1/21/2013,Attorney
P2013-138,1/16/2013,PDR,13-2770,COUNTER,2/21/2013,2/21/2013,Individual
P2013-139,1/16/2013,PDR,"11-112528, 94-69516",COUNTER,1/24/2013,1/21/2013,Individual
P2013-140,1/16/2013,PDR,6736 20 AV NW,EMAIL,1/24/2013,1/23/2013,Individual
P2013-141,1/16/2013,PDR,2009-2012 MENTAL CFS,EMAIL,1/24/2013,1/23/2013,Media
P2013-168,1/16/2013,PDR,12-373319,EMAIL,1/24/2013,1/24/2013,Attorney
P2013-169,1/16/2013,PDR,325930089,COUNTER,1/24/2013,1/23/2013,Individual
P2013-170,1/16/2013,PDR,REPORTS & FOLLOW-UPS,COUNTER,2/13/2013,1/23/2013,Individual
P2013-171,1/16/2013,PDR,13-16246,COUNTER,1/24/2013,1/21/2013,Individual
P2013-172,1/16/2013,PDR,13-10349,COUNTER,1/24/2013,1/21/2013,Individual
P2013-173,1/16/2013,PDR,ALL REPORT,MAIL,1/24/2013,1/18/2013,Individual
P2013-174,1/16/2013,PDR,13-5300,MAIL,2/28/2013,2/22/2013,Attorney
P2013-156,1/17/2013,PDR,93-1-07437-5,EMAIL,1/25/2013,1/18/2013,Inmate
P2013-157,1/17/2013,PDR,12-425870,COUNTER,1/25/2013,1/24/2013,Individual
P2013-158,1/17/2013,PDR,JAMES MARSHALL HENDRIX,EMAIL,1/25/2013,1/18/2013,Individual
P2013-159,1/17/2013,PDR,10-89821,FAX,1/25/2013,1/21/2013,Attorney
P2013-160,1/17/2013,PDR,05-360394,FAX,1/25/2013,1/21/2013,Attorney
P2013-161,1/17/2013,PDR,"2005 - OFC BAUER'S FILM, DET DUTY'S REPORT",MAIL,2/1/2013,2/1/2013,Inmate
P2013-162,1/17/2013,PDR,13-13047,MAIL,3/8/2013,2/14/2013,Attorney
P2013-163,1/17/2013,PDR,12-426794,MAIL,1/25/2013,1/21/2013,Attorney
P2013-164,1/17/2013,PDR,10-225525,COUNTER,1/25/2013,1/21/2013,Individual
P2013-165,1/17/2013,PDR,13-2770,EMAIL,2/15/2013,2/14/2013,Attorney
P2013-166,1/17/2013,PDR,12-350757,EMAIL,1/25/2013,1/22/2013,Attorney
P2013-167,1/17/2013,PDR,VICTIM STATEMENTS,EMAIL,1/25/2013,1/22/2013,Individual
P2013-175,1/18/2013,PDR,13-16101,EMAIL,3/11/2013,2/19/2013,Individual
P2013-176,1/18/2013,PDR,13-8449,MAIL,1/28/2013,1/22/2013,Attorney
P2013-177,1/18/2013,PDR,12-285211,MAIL,1/28/2013,1/27/2013,Individual
P2013-178,1/18/2013,PDR,12-289901 & 12-299961,EMAIL,1/28/2013,1/27/2013,Attorney
P2013-179,1/18/2013,PDR,BAC ROOM VIDEO,EMAIL,1/28/2013,1/28/2013,Attorney
P2013-180,1/18/2013,PDR,13-4484,COUNTER,1/28/2013,1/27/2013,Individual
P2013-185,1/18/2013,PDR,12-61244,EMAIL,1/28/2013,1/24/2013,Attorney
P2013-186,1/18/2013,PDR,21 REPORTS/CADS,EMAIL,3/25/2013,2/25/2013,Attorney
P2013-187,1/18/2013,PDR,"12-146508, 12-400075",COUNTER,1/28/2013,1/27/2013,Individual
P2013-188,1/18/2013,PDR,12-433940,FAX,1/28/2013,1/27/2013,Attorney
P2013-189,1/18/2013,PDR,12-372504,FAX,3/19/2013,3/12/2013,Attorney
P2013-190,1/18/2013,PDR,ALPR INFO,EMAIL,1/28/2013,1/24/2013,Individual
P2013-181,1/22/2013,PDR,ICV FROM CITATION,FAX,2/12/2013,2/12/2013,Attorney
P2013-182,1/22/2013,PDR,12-42560,EMAIL,1/29/2013,1/22/2013,Attorney
P2013-183,1/22/2013,PDR,11-211797,EMAIL,1/29/2013,1/22/2013,Attorney
P2013-184,1/22/2013,PDR,12-433691,EMAIL,1/29/2013,1/23/2013,Individual
P2013-191,1/22/2013,PDR,99-527862,COUNTER,1/29/2013,1/25/2013,Individual
P2013-192,1/22/2013,PDR,"13-18928, 13-18928",EMAIL,1/29/2013,1/23/2013,Individual
P2013-193,1/22/2013,PDR,13-20609,FAX,2/26/2013,2/6/2013,Attorney
P2013-194,1/22/2013,PDR,12-187149,EMAIL,2/12/2013,2/10/2013,Individual
P2013-195,1/22/2013,PDR,12-332865,EMAIL,1/29/2013,1/25/2013,Attorney
P2013-196,1/22/2013,PDR,12-217519,COUNTER,3/12/2013,3/5/2013,Individual
P2013-197,1/22/2013,PDR,12-424286,FAX,3/1/2013,2/11/2013,Individual
P2013-198,1/22/2013,PDR,13-10555,COUNTER,1/29/2013,1/25/2013,Individual
P2013-199,1/22/2013,PDR,12-402798,EMAIL,1/29/2013,1/23/2013,Media
P2013-200,1/22/2013,PDR,12-267980,FAX,2/26/2013,2/4/2013,Attorney
P2013-201,1/22/2013,PDR,12-409670,COUNTER,2/12/2013,2/12/2013,Individual
P2013-202,1/22/2013,PDR,12-444401,EMAIL,1/29/2013,1/24/2013,Attorney
P2013-203,1/22/2013,PDR,"13-19392, 13-19738, 13-19665",COUNTER,2/19/2013,2/13/2013,Individual
P2013-204,1/22/2013,PDR,CITATION 2Z0882484,MAIL,2/12/2013,2/7/2013,Attorney
P2013-205,1/22/2013,PDR,CFS,EMAIL,2/26/2013,2/11/2013,Attorney
P2013-206,1/22/2013,PDR,00-426823,EMAIL,1/29/2013,1/25/2013,Individual
P2013-207,1/23/2013,PDR,12-197955,FAX,1/30/2013,1/25/2013,Attorney
P2013-208,1/23/2013,PDR,"PTCR, ETC",EMAIL,1/30/2013,1/24/2013,Attorney
P2013-209,1/23/2013,PDR,12-444900,EMAIL,1/30/2013,1/27/2013,Individual
P2013-210,1/23/2013,PDR,"12-111699, 13-23305",COUNTER,3/13/2013,2/17/2013,Individual
P2013-211,1/23/2013,PDR,12-371704,EMAIL,1/30/2013,1/24/2013,Attorney
P2013-212,1/23/2013,PDR,12-428648,EMAIL,2/25/2013,2/23/2013,Attorney
P2013-213,1/23/2013,PDR,2007 INCIDENT REPORT,EMAIL,1/30/2013,1/24/2013,Individual
P2013-214,1/23/2013,PDR,"96-152409, 96-152434",MAIL,6/5/2013,6/5/2013,Inmate
P2013-220,1/23/2013,PDR,11-58793,EMAIL,2/13/2013,2/12/2013,Attorney
P2013-227,1/23/2013,PDR,13-21177,EMAIL,2/13/2013,1/30/2013,Individual
P2013-215,1/24/2013,PDR,"13-13038,12-215667,12-126642",EMAIL,1/31/2013,1/25/2013,Individual
P2013-216,1/24/2013,PDR,12-439072,COUNTER,2/1/2013,1/30/2013,Individual
P2013-217,1/24/2013,PDR,13-21356,EMAIL,1/31/2013,1/31/2013,Attorney
P2013-218,1/24/2013,PDR,12-435091,COUNTER,1/31/2013,1/29/2013,Individual
P2013-219,1/24/2013,PDR,13-23601,EMAIL,2/28/2013,2/22/2013,Individual
P2013-221,1/24/2013,PDR,12-400249,COUNTER,1/31/2013,1/28/2013,Individual
P2013-222,1/24/2013,PDR,CFS & REPORTS,COUNTER,1/31/2013,1/31/2013,Individual
P2013-223,1/24/2013,PDR,"09-414535, 10-28953",EMAIL,1/31/2013,1/25/2013,Attorney
P2013-224,1/24/2013,PDR,13-7757,COUNTER,1/31/2013,1/28/2013,Individual
P2013-225,1/24/2013,PDR,13-4472,COUNTER,1/31/2013,1/28/2013,Individual
P2013-226,1/24/2013,PDR,07-100744,COUNTER,1/31/2013,1/28/2013,Individual
P2013-231,1/24/2013,PDR,CALLS FOR SERVICES,EMAIL,1/31/2013,1/31/2013,Individual
P2013-228,1/25/2013,PDR,"OPA MATERIALS, REPORT, ETC",COUNTER,4/12/2013,4/12/2013,Individual
P2013-229,1/25/2013,PDR,13-2316,COUNTER,2/1/2013,1/29/2013,Individual
P2013-230,1/25/2013,PDR,12-372361,EMAIL,2/1/2013,2/1/2013,Attorney
P2013-232,1/25/2013,PDR,12-370904,MAIL,3/15/2013,3/12/2013,Attorney
P2013-233,1/25/2013,PDR,BAC ROOM VIDEO,FAX,2/1/2013,1/29/2013,Attorney
P2013-234,1/25/2013,PDR,12-431671,MAIL,2/1/2013,1/29/2013,Inmate
P2013-235,1/25/2013,PDR,OFFICER INFORMATION,EMAIL,2/28/2013,2/22/2013,Individual
P2013-236,1/25/2013,PDR,12-364875,EMAIL,3/15/2013,3/12/2013,Attorney
P2013-237,1/25/2013,PDR,ASSAULT CASE,EMAIL,2/1/2013,1/29/2013,Attorney
P2013-238,1/25/2013,PDR,12-436651,MAIL,3/15/2013,3/12/2013,Attorney
P2013-239,1/25/2013,PDR,13-16962,FAX,2/1/2013,1/29/2013,Individual
P2013-240,1/25/2013,PDR,12-272596,COUNTER,2/1/2013,1/31/2013,Individual
P2013-242,1/25/2013,PDR,11-160578,EMAIL,2/1/2013,1/29/2013,Attorney
P2013-243,1/25/2013,PDR,INFO RE: SPEED WATCH AREA,EMAIL,2/28/2013,2/22/2013,Individual
P2013-244,1/25/2013,PDR,12-296059,EMAIL,2/1/2013,2/1/2013,Attorney
P2013-245,1/25/2013,PDR,12-419988,EMAIL,2/1/2013,1/31/2013,Individual
P2013-246,1/25/2013,PDR,12-423403,FAX,3/6/2013,3/6/2013,Attorney
P2013-247,1/25/2013,PDR,13-8485,MAIL,2/1/2013,1/31/2013,Attorney
P2013-248,1/25/2013,PDR,13-16766,FAX,2/1/2013,2/11/2013,Attorney
P2013-251,1/25/2013,PDR,ACCIDENT REPORTS,EMAIL,3/1/2013,2/25/2013,Individual
P2013-261,1/25/2013,PDR,13-26048,EMAIL,2/1/2013,1/31/2013,Individual
P2013-262,1/25/2013,PDR,STOLEN VEH REPORTS & CITATIONS,EMAIL,3/28/2013,3/15/2013,Attorney
P2013-264,1/25/2013,PDR,12-428550,EMAIL,5/8/2013,5/8/2013,Attorney
P2013-265,1/25/2013,PDR,ALCOHOL THEFTS/MIPS,EMAIL,3/4/2013,3/5/2013,Individual
P2013-266,1/25/2013,PDR,12-39082,FAX,3/13/2013,3/12/2013,Individual
P2013-241,1/28/2013,PDR,OUTSIDE REVIEW OF SPD,EMAIL,3/8/2013,2/4/2013,Media
P2013-249,1/28/2013,PDR,ALL PURCHASING CONTRACTS,EMAIL,3/11/2013,3/8/2013,Attorney
P2013-250,1/28/2013,PDR,13-30293,COUNTER,2/25/2013,2/21/2013,Individual
P2013-252,1/28/2013,PDR,911,EMAIL,2/4/2013,1/29/2013,Individual
P2013-254,1/28/2013,PDR,ORIGINAL DOCUMENTS,EMAIL,3/5/2013,3/4/2013,Individual
P2013-255,1/28/2013,PDR,13-31221,EMAIL,2/4/2013,2/4/2013,Media
P2013-256,1/28/2013,PDR,"06-276708,06-374236,06-337819,07-67039",EMAIL,2/4/2013,2/4/2013,Attorney
P2013-257,1/28/2013,PDR,13-22429,EMAIL,2/4/2013,2/4/2013,Individual
P2013-258,1/28/2013,PDR,11-139716,COUNTER,2/4/2013,1/29/2013,Attorney
P2013-259,1/28/2013,PDR,13-29839,EMAIL,2/4/2013,2/7/2013,Individual
P2013-260,1/28/2013,PDR,"12-55190,13-25652,12-12302",EMAIL,2/4/2013,2/1/2013,Individual
P2013-263,1/28/2013,PDR,SPEED WATCH SIGNAGE,EMAIL,2/28/2013,2/19/2013,Individual
P2013-267,1/28/2013,PDR,12-441277,FAX,3/4/2013,2/28/2013,Individual
P2013-268,1/28/2013,PDR,12-432293,EMAIL,2/11/2013,2/7/2013,Attorney
P2013-269,1/28/2013,PDR,13-25386,EMAIL,2/4/2013,2/4/2013,Individual
P2013-270,1/28/2013,PDR,911 CALL,COUNTER,3/18/2013,2/28/2013,Individual
P2013-273,1/28/2013,PDR,96-473092,FAX,2/4/2013,2/1/2013,Individual
P2013-274,1/28/2013,PDR,13-20591,EMAIL,2/4/2013,2/1/2013,Individual
P2013-275,1/28/2013,PDR,INCIDENT REPORT,EMAIL,2/4/2013,2/4/2013,Attorney
P2013-276,1/28/2013,PDR,12-308651,EMAIL,2/4/2013,2/4/2013,Attorney
P2013-277,1/28/2013,PDR,PHOTOS AND ICV,EMAIL,2/11/2013,2/7/2013,Individual
P2013-279,1/28/2013,PDR,13-21312,COUNTER,2/25/2013,2/10/2013,Individual
P2013-280,1/28/2013,PDR,CFS & INCIDENT REPORTS,COUNTER,3/18/2013,2/26/2013,Individual
P2013-308,1/28/2013,PDR,BAC VIDEO,FAX,2/25/2013,2/13/2013,Attorney
P2013-364,1/28/2013,PDR,INCIDENT REPORT,EMAIL,2/4/2013,2/5/2013,Individual
P2013-253,1/29/2013,PDR,12-256839,EMAIL,2/12/2013,2/11/2013,Attorney
P2013-271,1/29/2013,PDR,13-18812,MAIL,3/5/2013,2/28/2013,Attorney
P2013-272,1/29/2013,PDR,PHOTOS TO CIT#325492130,EMAIL,2/5/2013,2/5/2013,Individual
P2013-281,1/29/2013,PDR,Aug-5933,EMAIL,2/5/2013,2/4/2013,Individual
